설립구분,표준학교코드,학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,설립일자,개교기념일,시도교육청코드,적재일시,위도,경도
공립,7051167,서울태랑초등학교,서울특별시북부교육지원청,1801,서울특별시 노원구 화랑로51나길 31,/ 서울태랑초등학교 (공릉동),20010611,20011021,B10,20230326,37.626118,127.0907034
공립,7051166,서울초당초등학교,서울특별시북부교육지원청,1364,서울특별시 도봉구 해등로32길 11,(방학동),19930720,19931028,B10,20230326,37.6580929,127.0222932
공립,7051165,서울청계초등학교,서울특별시북부교육지원청,1781,서울특별시 노원구 공릉로 431,/ 서울청계초등학교 (중계동),18950901,19920506,B10,20230326,37.6446677,127.0662866
공립,7051164,서울창일초등학교,서울특별시북부교육지원청,1424,서울특별시 도봉구 노해로66길 84,/ 창일초등학교 (창동),19900716,19901109,B10,20230326,37.6474588,127.0476003
공립,7051163,서울창원초등학교,서울특별시북부교육지원청,1427,서울특별시 도봉구 해등로 103,(창동/서울창원초등학교),19900716,19901130,B10,20230326,37.6523423,127.0406358
공립,7051162,서울창림초등학교,서울특별시북부교육지원청,1486,서울특별시 도봉구 덕릉로63길 46,(창동),19970604,20001101,B10,20230326,37.6432485,127.0414348
공립,7051161,서울창동초등학교,서울특별시북부교육지원청,1400,서울특별시 도봉구 해등로16길 81,(창동),19300401,19300401,B10,20230326,37.6551207,127.0447633
공립,7051160,서울창도초등학교,서울특별시북부교육지원청,1338,서울특별시 도봉구 방학로 32-28,(방학동/ 서울창도초등학교),19821007,19821007,B10,20230326,37.6635875,127.0490195
공립,7051159,서울창경초등학교,서울특별시북부교육지원청,1432,서울특별시 도봉구 도봉로129길 54,(쌍문동/창경초등학교),19890901,19451101,B10,20230326,37.65603979999999,127.035033
공립,7051158,서울중현초등학교,서울특별시북부교육지원청,1862,서울특별시 노원구 섬밭로 181,/ 서울중현초등학교 (하계동/중현초등학교),19891018,19900427,B10,20230326,37.6320961,127.0665418
공립,7051157,서울중평초등학교,서울특별시북부교육지원청,1776,서울특별시 노원구 섬밭로 241,/ 서울중평초등학교 (하계동),19880425,19880425,B10,20230326,37.6373034,127.0641709
공립,7051156,서울중원초등학교,서울특별시북부교육지원청,1777,서울특별시 노원구 섬밭로 316,(중계동),19900407,19901114,B10,20230326,37.6436662,127.062781
