좌표정보(X),좌표정보(Y)
201497.1316,451188.295
191581.5003,446108.8072
190958.5636,448099.682
200381.4251,452032.84
204637.6449,454364.1983
209374.6161,445143.0071
199495.139,442912.5759
205612.1424,457025.9764
187007.685,446135.935
187451.6409,447076.2385
202900.1744,451184.1942
194193.6995,450679.8306
200346.1162,447870.7118
205544.5743,445772.6032
188679.9167,447046.4391
184615.2625,450059.8126
185127.7665,448634.3156
209595.9519,445670.9404
207411.0897,452724.6627
209573.6369,445608.5421
195043.9573,441936.768
208707.0899,446299.3528
203186.335,444612.58
208499.9296,455110.3097
205318.9965,445888.9428
197585.6813,447892.1018
191215.0414,440530.0121
203317.7137,452092.8405
195463.5288,444363.2448
196384.5443,442822.9803
,
194105.7948,441773.0837
201884.8623,445143.2214
200250.4478,444683.2205
197233.5113,452734.4257
197296.0556,449027.2075
,
199831.0556,442129.6365
205789.9942,451122.8888
199424.603,448097.699
189851.591,443550.9582
203391.6925,444491.1401
204044.7899,444529.8404
210917.2936,442701.3436
208589.3633,445455.9041
208805.0425,444931.8403
215103.1775,449616.0648
195186.1893,454053.7454
190591.913,452920.9897
191572.2572,450713.4998
183659.8233,451676.5084
190024.8272,443455.0984
190811.7547,442118.2366
191364.7326,440325.9269
192305.7899,438672.9249
193798.9483,446579.6526
191907.9159,444951.6441
201875.7024,452412.1287
,
190217.7051,446449.9176
191385.0574,446098.5559
198109.9833,442670.9807
194206.929,441173.6132
193136.2533,442294.1552
193399.7363,442939.6248
195378.4947,442745.962
195275.7972,442781.6812
195275.7972,442781.6812
196250.7881,442706.7133
198630.9659,441645.8829
201260.9531,442587.0083
201260.9531,442587.0083
203520.8811,446950.2856
203108.3618,445369.4291
198578.0419,451963.4416
200830.5703,452174.4806
199168.813,452396.9953
193204.4472,444008.0292
199252.7904,451436.3599
198791.9527,448364.553
200202.6304,448383.5308
201954.6174,449624.6564
202113.8696,451897.5819
206981.7914,450452.8349
206133.4357,448786.3031
207268.2932,451219.4753
205308.5283,454853.5104
205035.3375,454454.0867
205980.7722,455275.8359
209399.9393,456069.2908
209391.336,456111.0296
207893.1062,455284.4214
203925.2892,456828.0388
202686.9803,456329.7907
201782.5471,453538.1289
200904.0721,456089.7597
202777.8084,459440.4672
205046.1208,454035.6933
202378.3283,446784.3879
204135.3862,463763.2408
202081.8612,462020.915
206246.1061,459671.8243
206453.454,457938.1494
192810.1833,454612.9543
189808.8195,454263.4562
192922.7951,452984.6525
198712.2909,451344.6141
184784.3624,448261.922
191928.5899,453553.6112
193069.6412,449559.4111
192362.3394,457154.0315
195673.8662,444131.177
194125.0824,441211.3584
198487.0756,442172.9752
202173.0729,439733.691
203386.6121,444001.8854
205258.7633,442363.3747
203470.8484,447369.5799
203772.1074,444464.7754
207430.3861,445423.3013
,
211135.3334,443623.8556
208142.7237,444689.9125
208676.689,444230.1963
211870.1396,444863.3024
210456.5292,445626.3634
210962.1922,449336.6895
201923.4061,452887.2204
197010.1205,453198.1199
198236.7392,442702.2012
198659.4462,451198.7893
199767.9128,450974.1504
197874.8201,450789.4486
196762.0774,447480.0396
197555.3059,447719.984
197177.4418,447264.4448
206469.2104,449306.2207
205519.9078,447652.7954
205931.6543,448457.4217
198593.1439,451171.7465
204970.7451,452352.1413
206314.0449,452514.1282
205341.6738,454835.6676
206962.888,457089.3405
212886.5263,449564.5428
207275.4229,457291.3142
201565.0522,454598.1712
200987.0873,459367.3477
206091.9386,449581.2499
203946.2189,462919.2195
203218.5366,462380.8309
205920.8711,459040.42
205978.1858,462367.0068
205724.1077,461637.4382
193654.3781,455534.5387
192812.2538,459266.9814
192272.6846,453776.6481
193554.1713,450707.8764
195934.0219,449314.6421
195051.5337,448575.9565
185881.4165,446879.5765
188254.4641,449635.6326
188495.9234,449189.4977
183414.2035,451870.425
185104.2017,450725.7851
187392.7507,447691.5381
182524.8238,451438.2509
186223.7811,447873.7737
