ÁÂÇ¥Á¤º¸(X),ÁÂÇ¥Á¤º¸(Y)
192949.572,450232.3091
198504.4024,451896.9556
191014.8534,441046.2797
191243.6805,439032.9477
193768.2147,442644.8828
199024.1578,452271.4133
200182.4992,452111.9602
200262.9371,452202.8876
191446.9874,441911.2464
201334.9191,452243.6314
191097.5691,439055.8239
191865.8481,446163.0649
193839.3028,446370.2306
192880.5637,450175.8787
201933.2109,459282.7969
185826.3043,443583.8947
191217.0264,442233.8744
193707.7032,446349.9604
191962.0605,446214.1424
212139.6819,448366.8107
197959.8106,451024.3296
203032.0623,451134.8586
202925.0773,444094.8254
197477.0608,450610.7464
193654.6909,442350.5228
204324.2634,445580.1875
209461.3748,445891.7158
193630.4886,442347.333
196277.8736,441900.4222
192321.147,442300.8241
193694.665,446449.5462
202188.319,459619.8116
185553,450880
198278.438,441456.8159
198308.8489,442608.2568
200488.7712,451524.8783
200087.8257,451349.24
192328.3588,442236.4491
199838.2711,452014.8063
198278.438,441456.8159
191376.6022,442456.7483
200488.5942,451461.8204
200138.6024,452032.1629
186143.0395,443851.276
197544.9598,449011.99
193646.5607,442722.6122
202086.1337,444484.6044
201530.4755,446268.2943
201992.3524,444691.9111
202071.0439,444356.6234
198527.7502,451865.1264
198786.5802,452227.0653
201684.943,452360.6714
202630.825,446511.985
200056.5101,452135.1011
202471.5362,446478.945
200203.2473,452144.9723
,
200279.4576,452261.3876
199121.5529,452271.9045
204518.4468,444942.6462
203363.152,444287.1218
201114.0514,452258.9218
199926.1344,452184.8234
200464.0085,452120.6723
200464.0085,452120.6723
204714.7585,446852.0784
204964.3781,446579.7147
199913.7364,452181.5739
199870.0803,452092.1833
202526.5569,444894.426
202700.5362,443520.4098
199870.0803,452092.1833
204579.5953,444698.3933
199121.5529,452271.9045
199377.6691,451982.4196
200876.5078,452049.012
201746.195,445794.05
199642.7162,452606.6144
198635.6889,451847.2821
201256.2397,452309.2961
199904.4739,452205.363
200363.2178,452115.1902
200170.7525,452114.4046
197745.0045,452127.2441
211855.0418,447431.5868
198117.3796,452161.2329
212111.3368,448059.842
200133.9022,452123.576
197733.3918,456346.8474
201089.9891,452192.646
200312.7285,452034.6198
201302.8838,451982.3885
212068.5306,448392.3934
200197.5793,452129.3207
200554.4228,452128.0297
199024.1578,452271.4133
200389.376,452056.4266
200137.8951,451994.5544
199689.7457,452449.2788
199261.5323,451953.0419
200487.2698,452159.9004
200263.9717,452127.9204
200314.3847,452142.2011
200567.883,452120.7841
199002.7071,452158.8704
198471.3476,452138.0298
198991.1863,451915.3259
199939.6918,452167.2043
198886.9444,452419.4296
200312.7285,452034.6198
199986.2491,452134.7144
,
200284.3435,452198.3352
200028.1797,452138.019
198908.2848,451897.9989
200501.6322,452157.9636
200529.9552,452214.2754
196811.0349,451768.3107
200250.1749,452129.6432
198324.6536,452252.8124
198150.3004,452019.2126
198587.3529,452053.1267
201853.2684,452392.9273
201850.4628,452407.5088
200387.5446,452016.7845
201875.2633,452427.4476
198921.3164,452310.2563
198266.9661,452159.6245
199203.1736,452103.9469
200902.8072,452137.5843
200385.8317,452045.7198
199271.4077,451914.1503
200141.7633,452140.5221
201370.3559,452290.3849
200266.2893,452029.3426
,
199174.3833,452150.7788
198805.5582,451830.209
200314.7033,452601.3151
201356.1036,452134.4457
199068.8681,452059.8133
199004.1523,452067.8933
199461.8723,451899.8935
198150.3004,452019.2126
200259.7545,452113.1509
197657.2981,452243.5967
200329.0216,452034.3728
200329.0216,452034.3728
199923.9322,452161.0248
201342.276,452159.2017
198651.1198,451931.5084
196525.1599,452124.2061
200282.9678,451960.6662
198939.5938,452197.7893
198572.8391,452022.3732
198921.3164,452310.2563
198500.4476,452243.4337
200299.3989,452034.8321
201778.6965,452392.6422
200299.3989,452034.8321
198743.1895,451823.2356
199006.8372,452085.9644
198237.9295,452179.9983
200899.7091,452134.5454
200078.6092,452158.6089
198524.7929,451892.9747
200329.0216,452034.3728
201486.2963,452304.7243
199174.3718,452124.3334
199033.1252,452715.7164
196857.0497,451727.0787
198242.3686,452205.5405
198930.0229,451940.7683
197664.9406,452234.4882
198963.4793,452103.7074
199045.0436,451939.6773
197673.9197,452123.4345
200994.8783,452144.7527
