관리번호,분류,대표명,주소,경도,위도,사업장명,지번주소,도로명주소,
350,대형할인마트,이마트,서울특별시 강동구 천호동,127.125709,37.5386065,(주)이마트천호점,서울특별시 강동구 천호동 454-1호,서울특별시 강동구 천호대로 1017 (천호동),"X :127.125709, Y :37.5386065"
351,대형할인마트,홈플러스,서울특별시 강동구 천호동,127.14223,37.5457058,홈플러스 강동점,서울특별시 강동구 천호동 42번지,서울특별시 강동구 양재대로 1571 (천호동),"X :127.142230, Y :37.5457058"
352,대형슈퍼,GS슈퍼,서울특별시 강동구 명일동,127.144221,37.5513616,(주)지에스리테일 명일점,서울특별시 강동구 명일동 312-99호,서울특별시 강동구 양재대로 1630 (명일동),"X :127.144221, Y :37.5513616"
353,백화점,현대백화점,서울특별시 강동구 천호동,127.124419,37.5389592,현대백화점 천호점,서울특별시 강동구 천호동 455-8호,"서울특별시 강동구 천호대로 1005 (천호동, 현대백화점)","X :127.124419, Y :37.5389592"
354,대형할인마트,이마트,서울특별시 강동구 명일동,127.155816,37.5546627,(주)이마트명일점,서울특별시 강동구 명일동 46-4 호,서울특별시 강동구 고덕로 276 (명일동),"X :127.155816, Y :37.5546627"
355,대형슈퍼,GS슈퍼,서울특별시 강동구 암사동,127.140358,37.5552945,(주)지에스리테일 암사캐슬점,서울특별시 강동구 암사동 414-18호 강동롯데캐슬퍼스트아파트,서울특별시 강동구 고덕로 133 (암사동),"X :127.140358, Y :37.5552945"
356,대형슈퍼,홈플러스 익스프레스,서울특별시 강동구 암사동,127.135079,37.5523634,홈플러스(주) 익스프레스 암사점,서울특별시 강동구 암사동 473-3호,서울특별시 강동구 고덕로24길 50 (암사동),"X :127.135079, Y :37.5523634"
357,대형슈퍼,홈플러스 익스프레스,서울특별시 강동구 성내동,127.127314,37.5311986,홈플러스(주) 익스프레스 성내점,서울특별시 강동구 성내동 521번지,서울특별시 강동구 풍성로 138 (성내동),"X :127.127314, Y :37.5311986"
358,대형슈퍼,이마트 에브리데이,서울특별시 강동구 명일동,127.148435,37.5532846,(주)이마트에브리데이 명일동점,"서울특별시 강동구 명일동 15-삼익그린맨션 상가동 지층22,23,25",서울특별시 강동구 고덕로 210 (명일동),"X :127.148435, Y :37.5532846"
359,대형슈퍼,홈플러스 익스프레스,서울특별시 강동구 길동,127.140497,37.5383557,홈플러스(주)익스프레스 길동점,서울특별시 강동구 길동 391-2호,서울특별시 강동구 양재대로 1486 (길동),"X :127.140497, Y :37.5383557"
