ÁÂÇ¥Á¤º¸(X),ÁÂÇ¥Á¤º¸(Y)
200999.3562,451654.4182
,
199812.6096,452132.6483
201308.5365,451174.3655
201258.0627,452787.1328
200717.749,452011.8651
200647.0133,452054.7649
200908.3984,452025.3465
199670.9799,452221.775
197700.034,452022.5035
199837.4143,451974.1285
,
198401.7013,451374.3122
201680.0675,451610.9622
,
197993.9046,452032.9586
198351.8187,451921.603
,
201727.6708,452264.4202
201727.6708,452264.4202
197951.1506,450771.0878
201096.6813,451715.8304
200541.6377,451814.4595
199571.5995,451124.8514
198744.4332,451677.0651
200989.6866,451762.2615
201390.6235,451682.9244
199534.3297,451608.2229
201070.9794,451874.6375
200984.7137,449703.2398
201040.3526,451852.1426
200984.7137,449703.2398
,
198636.2504,451005.7216
200613.5103,451817.5154
200938.5281,451798.0031
197230.2061,450446.6844
197364.6268,450397.3696
200984.7137,449703.2398
200664.5829,451781.8684
198079.6943,450952.1745
197831.0027,450794.3148
192998.2022,457479.9952
198259.6536,451392.1982
201031.4794,451759.2624
199521.2008,451751.4241
200649.7767,451689.7852
201250.877,451908.7738
201236.0315,451872.4094
201823.909,452076.8187
201823.909,452076.8187
198619.3882,451135.7403
200573.6413,451621.0365
200644.6738,451908.7
198418.7417,451237.1686
192517.6402,452143.4915
196762.0774,447480.0396
200431.1456,447763.4142
197646.514,447909.0707
196775.6399,447984.6345
197099.3815,447328.5488
199955.4297,447219.1616
196716.1659,449892.5577
,
199363.5958,448050.9263
196370.7464,447841.6988
205020.6087,456783.7666
196385.232,447938.1925
198622.8926,446114.1552
196813.2585,447881.9708
196775.6399,447984.6345
199051.1588,447953.6017
196605.5116,447841.2701
203523,450411
204566.0464,451260.9331
196762.0774,447480.0396
200438.9929,443124.5944
185431.0666,449714.8138
184102.7825,452097.3701
204669.5434,443873.6212
196839.6417,447863.232
198622.8926,446114.1552
202806.0185,451160.356
201939.2553,449589.2138
205784.8688,450883.524
202186.4681,452282.6074
201181.599,448609.5881
202326.503,450625.5842
202511.1429,450401.3037
204830.9773,449477.4485
203323.7878,451940.2054
203017.0215,451346.2811
203292.1519,451267.7309
203321.5623,451001.8687
201383.0237,449744.2805
201772.8071,450250.3664
203477.9054,450542.4544
203841.2255,449475.5401
206176.1786,453248.0972
205271.7049,452706.8979
187785.8405,443997.1359
204081.2821,453187.3952
205663.0811,448250.3634
205886.289,448517.3386
207114.4989,451296.0494
206212.2443,449577.1749
207747.894,450639.201
206686.3645,447752.4632
208394.4164,448165.28
207001.8723,450597.6149
207778.1165,450250.2556
,
206107.7752,449029.3422
207368.6245,447632.296
206349.675,448396.9397
205758.8167,448768.1614
206107.7752,449029.3422
207098.9948,451260.4457
208201.9933,447967.2995
208644.8192,448711.7258
208403.7461,448490.2392
208558.2866,448353.9052
203356.9574,452469.3002
208261.7488,448701.6585
205423.9695,451556.2106
205396.3637,455131.6832
203155.5049,452914.6075
203258.3772,452834.0641
205396.3637,455131.6832
205987.3456,452845.2843
204881.3132,454280.0406
205396.3637,455131.6832
203075.0985,452918.8365
206325.3494,452184.2102
202538.0118,452901.1853
203597.8562,453055.9087
203851.3754,453238.5942
204082.1118,452472.9905
204970.9016,452852.821
205006.0749,451814.3324
205396.3637,455131.6832
204605.3839,454565.9406
202186.4681,452282.6074
204638.4864,451699.7658
205423.9695,451556.2106
208520.0923,456195.8775
206771.2173,455221.9895
207869.6056,454173.3134
206771.2173,455221.9895
207708.3648,453525.7412
208781.9994,454740.6269
207553.1704,453031.1158
208208.7867,457054.7937
207089.2166,453074.4768
208183.5589,454911.2485
206777.7314,456837.2196
208091.2692,455421.8266
207923.7459,455090.7183
207897.2604,454953.3634
200841.727,454721.5052
,
201826.0023,453162.3763
201592.9913,456382.9661
205254.2626,456319.5567
201858.4883,453868.7203
205365.358,456371.165
200841.727,454721.5052
204407.2508,456638.1945
202555.3009,456503.0662
202667.4688,455858.9208
201509,453158
,
,
,
204582.6803,456210.8363
204162.7777,457664.9619
,
,
202466.8011,456227.5717
201852.5885,455598.9475
202555.3009,456503.0662
202555.3009,456508.4952
202887.7362,455516.2032
202555.3009,456503.0662
203502.0041,455500.569
202667.4688,455858.9208
200841.727,454873.8254
201501.4745,455061.6986
201514.9828,456137.0843
201517.3853,456504.5619
203353.7989,455765.4171
201447.4187,454477.1033
200509.6605,453950.6409
201336.7505,454358.4269
204407.2508,456638.1945
201956.181,458714.3658
201812.9047,459775.9928
201589.778,457545.1009
202266.4487,457691.8024
202344.1179,457986.1723
202608.9341,459320.0308
201589.778,457545.1009
201692.8689,460402.0655
202615,456822
202000.5137,458815.9777
202000.5137,458815.9777
202558.5818,456709.9163
202197.0963,459964.5306
201354.5535,459317.5831
202642.446,456636.3082
202197.0963,459964.5306
202608.9341,459320.0308
201602.5775,457290.1007
202314.4797,457821.8531
203296.1646,462113.8605
203027.6271,460124.4184
202625.6463,456875.974
202326.1758,462116.4086
204169.8477,464814.7174
203242.9685,460001.0811
204136.5845,463573.1022
202338.5306,461983.524
203027.6271,460124.4184
,
203790.0136,462495.417
203220.9214,459746.9244
204107.0903,461072.6424
192503.1283,452051.2725
203027.6271,460124.4184
206616.3001,461867.9471
206222.0827,458423.4402
205984.1521,457275.7993
207311.1758,457610.712
206044.7764,459360.8777
205985.9533,459730.4378
204772.5006,464208.3054
205391.0704,458333.9892
206132.4325,460549.3112
205557.0134,461441.688
205645.892,459609.0125
206033.0233,461935.3392
205715.5389,462416.2116
206719.5863,460669.8364
194695.7971,448818.968
206578.976,457736.3647
206490.2474,460830.6154
,
193661.7324,456379.1939
192661.6613,453828.586
,
193042.5193,457459.368
193035.2791,457365.9117
192738.3811,454678.8985
194002.7017,456937.5425
193600.8884,456957.2336
192012.2086,455177.7045
191953.9402,456960.6878
193035.2791,457365.9117
,
,
190977.8506,453037.788
192882.8377,455340.5406
192563.8745,456570.0846
192674.1327,454664.1668
194003.8839,457260.7365
,
,
192655.7564,459477.2094
192773.9746,455630.8841
194265.0676,450433.691
194798.4584,450837.0517
195063.8207,450597.8741
193716.3399,451653.5637
192000.9459,452848.0091
194158.7013,449853.9824
195280.7102,455193.0147
192728.9387,452585.5416
194850.361,454344.4325
192301.1355,453354.0655
195243.087,450223.9274
192899.6057,451360.661
193282.1308,450549.2802
195804.5637,449216.3113
202557.0078,443648.6225
193981.3127,449301.6924
193285.5497,450808.5716
195878.7415,449214.2533
195808.9045,448910.7413
192414.0269,450075.4898
193456.6064,451125.4673
191010.381,451972.154
195810.0795,449173.776
192257.3938,449554.4842
194273.5981,450318.7241
,
192214.3809,450136.911
194236.7347,449243.1627
191651.5293,450694.8035
193296.7914,450562.9312
195669.2176,448393.6587
193009.2081,450142.1869
190931.0009,451427.7221
193905.4372,449372.4965
193565.9004,450545.6685
186071.9797,445297.9868
184796.9991,448625.3896
186934.1477,446336.6805
188580.4837,447750.8452
188117.3518,448552.9899
185221.9579,446727.355
188884.0756,447186.8886
188977.1711,447466.355
187954.1896,445124.1316
188729.1905,447572.61
187954.1896,445124.1316
187788.8226,449204.6352
187619.9931,445879.0549
187955.1215,449649.0162
188635.2309,449396.8064
,
,
,
,
188551.2991,447076.2881
,
187929.3951,446964.6091
,
186374.4637,451431.2511
184498,451786
185798,451778
186080.902,451971.1787
184386,451226
186456.1877,449645.4519
185731.0512,448913.7609
185681.1227,448813.4416
,
187119.9482,450691.5932
183315.5567,452204.1655
185384.3227,448552.1247
188680.483,449829.6943
186687.1318,451342.7735
185431.0666,449714.8138
188692.0332,449699.8326
186614.4313,449481.2536
,
,
,
,
187619.597,444186.9231
189052.1018,443748.2793
,
,
187826.6982,443925.5247
186015.7384,443657.6143
193393.0966,446218.4438
188840.5159,444306.7711
190005.1325,445250.5389
189277.7617,444671.5517
188907.9661,444898.3676
187619.597,444186.9231
186769.6169,444433.2216
187798.8693,444629.7048
186968.2885,442651.9078
190232.5245,444978.6827
189682.7994,444193.86
189052.1018,443748.2793
190232.5245,444978.6827
193750.8259,442753.2193
190901.9779,442466.8134
187158.4438,443952.5619
188674.9951,443749.503
,
,
190107.0454,445157.6264
187009.8043,443302.6078
185756.1749,443268.099
187718.8012,444056.9968
189134.1545,444274.7299
187826.6982,443925.5247
,
,
,
191026.6372,438701.2056
191390.7851,437280.5742
191384.6063,437986.9408
190771.5956,440515.669
191262.6214,439137.9921
190809.5078,440728.3823
189722.1785,441920.9728
190567.4183,439569.4015
190858.6495,440808.5413
191210.5177,441768.8339
191226.2874,437914.063
191152.4326,438865.1607
190527.9185,441484.8659
189997.4557,441687.8412
190119.4634,441716.6846
191823.0268,438834.3781
190809.5078,440728.3823
190809.5078,440728.3823
190729.5065,446227.075
